Group	Sub-Group / Table of Content in section of journeybook	Question	Default	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option 7	Option 8	Option 9	Option 10	Option 11	Option 12	Option 13	Option 14	Option 15	Option 16	Option 17	Option 18	Option 19	Option 20	Option 21	Option 22	Option 23	Option 24	Option 25	Option 26	Option 27	Option 28	Option 29	
VALUE	Personality	Are you a Romantic Person?	NULL	YES	NO	KIND OF	NOT AT ALL	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Personality	Are you a Stioic Person?	NULL	YES	NO	KIND OF	NOT AT ALL	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Personality	Are you a Serious Person?	NULL	YES	NO	KIND OF	NOT AT ALL	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Personality	Are you a Hard Working Person?	NULL	YES	NO	KIND OF	NOT AT ALL	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Alchemy	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Archaeology	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Astronomy	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Biology	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Blogging	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Chemistry	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	ConservativePolitics	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Cryonics	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Economics	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	History	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	IntellectualDiscourse	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	LiberalPolitics	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Mathmatics	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Nanotechnology	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Nihilism	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Nutrition	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Intellect	Occultism	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Intellect	Paranormal	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Intellect	Philosophy	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Intellect	Physics	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Intellect	Poetry	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Intellect	PoliticalActivism	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Intellect	Psychology	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Intellect	Writing	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Intellect	Journalism	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Intellect	War	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Intellect	Movies	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Intellect	Sports	NULL	No Opinion	Love it	Like it	Curious about																										
COMPATIBILITY	Adventure	AmusementParks	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	AntiqueShows	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	ArtGalleries	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	BeachCombing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	BirdWatching	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	Clubbing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
