Group	Sub-Group / Table of Content in section of journeybook	Question	Default	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option 7	Option 8	Option 9	Option 10	Option 11	Option 12	Option 13	Option 14	Option 15	Option 16	Option 17	Option 18	Option 19	Option 20	Option 21	Option 22	Option 23	Option 24	Option 25	Option 26	Option 27	Option 28	Option 29	
COMPATIBILITY	Sports	Badminton	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	Baseball	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	Basketball	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	BMX	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	BodyBuilding	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	Bowling	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	Boxing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	Darts	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	Football	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	Golf	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	HorseRacing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	IceHockey	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Sports	KickBoxing	NULL	Guru	Expert	Advanced	Intermediate																										
COMPATIBILITY	Sports	MMA	NULL	Guru	Expert	Advanced	Intermediate																										
COMPATIBILITY	Sports	PaintBall	NULL	Guru	Expert	Advanced	Intermediate																										
COMPATIBILITY	Sports	Skiing	NULL	Guru	Expert	Advanced	Intermediate																										
COMPATIBILITY	Sports	SkyDiving	NULL	Guru	Expert	Advanced	Intermediate																										
COMPATIBILITY	Sports	SnowBoarding	NULL	Guru	Expert	Advanced	Intermediate																										
COMPATIBILITY	Sports	Soccer	NULL	Guru	Expert	Advanced	Intermediate																										
COMPATIBILITY	Sports	StreetHockey	NULL	Guru	Expert	Advanced	Intermediate																										
COMPATIBILITY	Sports	Swimming	NULL	Guru	Expert	Advanced	Intermediate					kajira	kajirus	Top	bottom	Sadist	Masichist	Sadomasochist	AgePlayer	Daddy	babygirl	brat	Primal	Fetishist	Kinkster	Hedonist	Vanilla	Object	Strange	Sugar Daddy	Sugar Momma	Sugar Baby	
COMPATIBILITY	Sports	Tennis	NULL	Guru	Expert	Advanced	Intermediate	slave	Master	Mistress	pet																						
COMPATIBILITY	Sports	Volleyball	NULL	Guru	Expert	Advanced	Intermediate																										
COMPATIBILITY	Sports	Wrestling	NULL	Guru	Expert	Advanced	Intermediate																										
INTIMACY	Basic	Is Quantity as Important as Quality	NULL	YES	NO	MAYBE																											
INTIMACY	Basic	How many times a week would like to have sex?	NULL																														
INTIMACY	Basic	Are you tame?	NULL	YES	NO	MAYBE																											
INTIMACY	Basic	Are yo wild?	NULL	YES	NO	MAYBE																											
INTIMACY	Basic	Are you Extreme?	NULL	YES	NO	MAYBE																											
INTIMACY	Basic	Are you open minded?	NULL	YES	NO	MAYBE																											
INTIMACY	Basic	Do you like experimentation?	NULL	YES	NO	MAYBE																											
INTIMACY	Basic - Opens Kinky	Are you kinky?	NULL	YES	NO	MAYBE																											
INTIMACY	Basic	Are you perverse?	NULL	YES	NO	MAYBE																											
INTIMACY	Basic - Opens Looking For	Do you like to role play? Or are you a…	NULL	Dominant	Domme	Switch	submissive																										
INTIMACY	Looking For	A long term sexually relationship	NULL	YES	NO	MAYBE																											
INTIMACY	Looking For	A relationship that is also sexually charged	NULL	YES	NO	MAYBE																											
INTIMACY	Looking For	A Mentor/Teacher	NULL	YES	NO	MAYBE																											
INTIMACY	Looking For	Just to play	NULL	YES	NO	MAYBE																											
INTIMACY	Looking For	A Princess/Slut	NULL	YES	NO	MAYBE																											
INTIMACY	Looking For	Kinky friends	NULL	YES	NO	MAYBE																											
INTIMACY	Looking For	A Master	NULL	YES	NO	MAYBE																											
INTIMACY	Looking For	Kinky or playtime Events	NULL	YES	NO	MAYBE																											
INTIMACY	Looking For	A Domestic Slave	NULL	YES	NO	MAYBE																											
INTIMACY	Looking For	A Dominant	NULL	YES	NO	MAYBE																											
INTIMACY	Looking For	A Domme	NULL	YES	NO	MAYBE																											
INTIMACY	Looking For	A sub	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Looking For	A Sex Slave	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Looking For	A Switch Woman	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Looking For	A Switch Male	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Looking For	A Dom Trans	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Looking For	A sub trans	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Looking For	A Dom Domme Couple	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Looking For	A sub sub couple	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Looking For	A Fem Domme Couple	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Looking For	A Male Dom Couple	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Looking For	Online Cyber Play	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Looking For	A poly house	NULL	YES	NO	MAYBE		Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Ass Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Begging?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Blindfolds?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Bodyworship?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Bondage?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Breast Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Cages?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Crops?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Canes?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like CBT?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Chastity?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Clergy Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Collars?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Cornertime?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Corsets?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Diapers?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Dialation?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Electric Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Enemas?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Exhibition?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Eye Contact Restrictions?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Face Slapping?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Fire Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Fisting?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Foot Worship?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Gags?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Hairpulling?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Hoods?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Housework?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Humiliation?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Hypnosis?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Knofe Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Leashes?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Masks on your Partner?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like to Wear Masks?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Getting Massages?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Giving Massages?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Medical Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Mental Bondage?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Needle Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like No Strings Housework?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Obedience Training?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Orgasm Control?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you have a Pantyhose Fetish?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Plastic Wrap?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Pony Puppy Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Public Bondage?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Public Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Queening?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Role Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you have a Rubber Fetish?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Serving as a Maid?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Serving as a Butler?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Shibari?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Spanking?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Speech Retrictions?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Strap-Ons?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Suspension?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	o you like Tickling?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Uniforms?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Vacuum Stimulation?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Vibrators?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Watersports?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice	Curious and Ready	Just Curious																								
INTIMACY	Kinky Play (Warning)	Do you like Wax Play?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	Kinky Play (Warning)	Do you like Whips?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	Kinky Play (Warning)	Do you like 1950s Household?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	Kinky Play (Warning)	Do you like Cockholding?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	Kinky Play (Warning)	Do you like Female Supremecy?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	Kinky Play (Warning)	Do you like Gorean Lifestyle?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	Kinky Play (Warning)	Do you like Goth Lifestyle?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	Kinky Play (Warning)	Do you like BDSM Lifestyle?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	Kinky Play (Warning)	Do you like Polymory?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	Kinky Play (Warning)	Do you like Swinging?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	Kinky Play (Warning)	Do you like Vampirism?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	Kinky Play (Warning)	Do you like Victorian Lifewstyle?	NULL	Anytime / Anyplace	Want it wherever	Just in the Bedroom	Once in a while for Spice																										
INTIMACY	TRAIT 	Your GENDER ASSOCIATION IS	NULL	Male	Female	Transvestite	Crossdresser	Trans - M2F	Trans - F2M	Queer	Butch	Femme																					
INTIMACY	TRAIT 	Your SEXUALITY IS	NULL	Straight	Heteroflexible	Bisexual	Homoflexible	Gay	Lesbian	Queer	Pansexual	Evolving	Asexual	Unsure																			
INTIMACY	TRAIT	What are you looking for?	NULL	Male	Female	Transvestite	Crossdresser	Trans - M2F	Trans - F2M	Queer	Butch	Femme																					
INTIMACY	TRAIT	Are you interested in a Partner who IS	NULL	Straight	Heteroflexible	Bisexual	Homoflexible	Gay	Lesbian	Queer	Pansexual	Evolving	Asexual	Unsure																			
